Epoch,accuracy,loss,val_accuracy,val_loss
1,0.5635,1.0671,0.7223,0.7844
2,0.8507,0.3678,0.7586,0.7185
3,0.9232,0.269,0.7304,0.793
4,0.9251,0.1969,0.8632,0.3832
5,0.9671,0.1206,0.9034,0.2992
6,0.9492,0.1446,0.9235,0.2276
7,0.9672,0.0978,0.9215,0.2024
8,0.9714,0.1087,0.9416,0.1832
9,0.9776,0.0788,0.9396,0.1921
10,0.9836,0.0804,0.9517,0.1537
11,0.9895,0.0667,0.9437,0.1478
12,0.9782,0.0879,0.9557,0.1273
13,0.9778,0.0692,0.9638,0.1294
14,0.9772,0.0988,0.9557,0.1235
15,0.9726,0.1112,0.9638,0.1271
16,0.9759,0.0739,0.9678,0.1302
17,0.9656,0.0819,0.9638,0.123
18,0.9765,0.0757,0.9577,0.1093
19,0.9599,0.1226,0.9557,0.129
