Epoch,accuracy,loss,val_accuracy,val_loss
1,0.6029,3.1992,0.7364,3.2784
2,0.8496,2.4549,0.8491,2.616
3,0.9147,2.1794,0.8934,2.1946
4,0.9469,2.011,0.9175,2.082
5,0.9626,1.8839,0.9276,1.9726
6,0.9566,1.8752,0.9276,1.9632
7,0.9841,1.7822,0.9477,1.8732
8,0.9727,1.7834,0.9396,1.8744
9,0.9709,1.7695,0.9517,1.834
10,0.9713,1.7759,0.9416,1.8481
11,0.967,1.7799,0.9577,1.8271
12,0.9769,1.7764,0.9477,1.8393
13,0.9893,1.7384,0.9618,1.8129
14,0.9736,1.7568,0.9577,1.8046
15,0.9739,1.7777,0.9457,1.8255
16,0.9748,1.7604,0.9477,1.8365
